forecast_date,forecast,actual,error,abs_error
2025-01-02,23.2,23.4,0.1999999999999993,0.1999999999999993
2025-01-03,23.4,21.4,-2.0,2.0
2025-01-04,21.4,21.6,0.20000000000000284,0.20000000000000284
2025-01-05,21.6,21.9,0.29999999999999716,0.29999999999999716
2025-01-06,21.9,22.8,0.9000000000000021,0.9000000000000021
2025-01-07,22.8,24.9,2.099999999999998,2.099999999999998
2025-01-08,24.9,24.2,-0.6999999999999993,0.6999999999999993
2025-01-09,24.2,24.1,-0.09999999999999787,0.09999999999999787
2025-01-10,24.1,24.3,0.1999999999999993,0.1999999999999993
2025-01-11,24.3,23.9,-0.40000000000000213,0.40000000000000213
2025-01-12,23.9,23.1,-0.7999999999999972,0.7999999999999972
2025-01-13,23.1,22.5,-0.6000000000000014,0.6000000000000014
2025-01-14,22.5,22.0,-0.5,0.5
2025-01-15,22.0,21.2,-0.8000000000000007,0.8000000000000007
2025-01-16,21.2,20.7,-0.5,0.5
2025-01-17,20.7,21.2,0.5,0.5
2025-01-18,21.2,23.0,1.8000000000000007,1.8000000000000007
2025-01-19,23.0,24.5,1.5,1.5
2025-01-20,24.5,22.7,-1.8000000000000007,1.8000000000000007
2025-01-21,22.7,24.4,1.6999999999999993,1.6999999999999993
2025-01-22,24.4,24.6,0.20000000000000284,0.20000000000000284
2025-01-23,24.6,23.2,-1.4000000000000021,1.4000000000000021
2025-01-24,23.2,22.8,-0.3999999999999986,0.3999999999999986
2025-01-25,22.8,22.9,0.09999999999999787,0.09999999999999787
2025-01-26,22.9,24.0,1.1000000000000014,1.1000000000000014
2025-01-27,24.0,25.1,1.1000000000000014,1.1000000000000014
2025-01-28,25.1,25.9,0.7999999999999972,0.7999999999999972
2025-01-29,25.9,25.2,-0.6999999999999993,0.6999999999999993
2025-01-30,25.2,24.3,-0.8999999999999986,0.8999999999999986
2025-01-31,24.3,23.1,-1.1999999999999993,1.1999999999999993
2025-02-01,23.1,23.5,0.3999999999999986,0.3999999999999986
2025-02-02,23.5,22.9,-0.6000000000000014,0.6000000000000014
2025-02-03,22.9,21.6,-1.2999999999999972,1.2999999999999972
2025-02-04,21.6,21.5,-0.10000000000000142,0.10000000000000142
2025-02-05,21.5,24.6,3.1000000000000014,3.1000000000000014
2025-02-06,24.6,28.8,4.199999999999999,4.199999999999999
2025-02-07,28.8,30.0,1.1999999999999993,1.1999999999999993
2025-02-08,30.0,27.8,-2.1999999999999993,2.1999999999999993
